Date,Category,Amount,Description
2026-02-09,Transport,500.0,Bus fare
2026-02-09,Bills,3000.0,Electricity bill
2026-02-09,Mobile,1000.0,Mobile package
2026-02-09,Internet,2500.0,Monthly WiFi
2026-02-09,Shopping,4500.0,Clothes
2026-02-09,Medicine,800.0,Pharmacy
2026-02-09,Petrol,4000.0,Bike fuel
2026-02-09,Snacks,600.0,Lays & drinks
2026-02-09,Education,7000.0,Course fee
2026-02-09,Entertainment,1500.0,Cinema
2026-02-09,Maintenance,2000.0,Bike service
2026-02-09,Gift,1800.0,Birthday gift
2026-02-09,Laundry,900.0,Clothes washing
2026-02-09,Rent,15000.0,Monthly rent
2026-02-09,Water Bill,1200.0,Monthly water bill
2026-02-09,Charity,1000.0,Donation
2026-02-09,Subscription,800.0,Netflix
2026-02-09,Stationery,650.0,Office supplies2026-02-09
